classifier,accuracy,f1_score
Random Forest,0.6723981900452488,0.661809701256068
Logistic Regression,0.6211915535444946,0.5791967330658915
SVM,0.41809954751131223,0.379392338067873
ANN,0.3206636500754148,0.2861962162659394
