classifier,accuracy,f1_score
Random Forest,0.3551282051282051,0.34641727092250146
Logistic Regression,0.3548265460030166,0.3548628968223061
SVM,0.35128205128205126,0.34024857543317
ANN,0.3164404223227753,0.2247777565819479
