classifier,accuracy,f1_score
Random Forest,0.7194570135746607,0.7003838903196502
Logistic Regression,0.5704374057315234,0.5506664272495507
SVM,0.6057315233785822,0.6075680847837711
ANN,0.6880844645550528,0.6719979868156509
