classifier,accuracy,f1_score
Random Forest,0.6803167420814479,0.6682917411746405
SVM,0.7345399698340875,0.719688398235111
ANN,0.3552790346907994,0.32406522516979447
Logistic Regression,0.7110859728506786,0.6899909797655656
