experiment,image,TRIAL_INDEX,up_freq,down_freq,left_freq,right_freq,min_duration,avg_duration,max_duration,min_vel,avg_vel,max_vel,min_ampl,avg_ampl,max_ampl,min_angle,avg_angle,max_angle,min_distance,avg_distance,max_distance,min_slope,avg_slope,max_slope
1,NamingWITHOUTinterference.jpg,2,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
1,NamingWITHinterference.jpg,1,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
1,ReadingWITHOUTinterference.jpg,4,0.0658536585365853,0.0219512195121951,0.3219512195121951,0.5853658536585366,16,50.35121951219512,304,1.36,116.32351219512196,279.51,0.06,6.489658536585365,24.69,-179.94,-1.9044878048780485,179.99,2.051828452868381,220.8778107677404,936.1723345623924,-3.1412822873676047,0.0332691080869729,3.1400775032340764
1,ReadingWITHinterference.jpg,3,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
2,NamingWITHOUTinterference.jpg,2,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
2,NamingWITHinterference.jpg,1,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185383,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
2,ReadingWITHOUTinterference.jpg,3,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
2,ReadingWITHinterference.jpg,4,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
3,NamingWITHOUTinterference.jpg,1,0.0687022900763358,0.0534351145038167,0.3236641221374046,0.5297709923664122,16,69.10534351145039,4862,0.05,98.9617709923664,321.98,0.0,5.851053435114504,27.65,-179.91,3.495297709923664,180.0,0.0999999999999943,196.9615072290106,1246.770331697061,-3.139067406432281,-0.0420416619065947,3.141592653589793
3,NamingWITHinterference.jpg,2,0.0914179104477612,0.0690298507462686,0.3171641791044776,0.4794776119402985,16,79.31716417910448,1954,0.19,96.89690298507462,347.68,0.03,5.75419776119403,27.73,-179.77,-2.8445522388059703,179.77,1.0630145812734753,192.18783627596693,1053.2319212784998,-3.1365675702589795,0.0526642330523961,3.136222135943025
3,ReadingWITHOUTinterference.jpg,4,0.0829145728643216,0.0527638190954773,0.314070351758794,0.535175879396985,16,62.130653266331656,682,1.44,113.681783919598,321.15,0.06,6.88819095477387,26.12,-179.74,-1.925100502512563,180.0,2.4083189157583647,229.84823097999853,1019.555246173546,-3.1396433383200275,0.0508992101766277,3.141592653589793
3,ReadingWITHinterference.jpg,3,0.091743119266055,0.055045871559633,0.3247706422018349,0.4990825688073395,16,66.9467889908257,668,0.57,101.77335779816514,321.91,0.07,6.263963302752294,28.66,-179.81,4.587412844036697,179.96,2.7658633371878536,211.64390071604325,1136.3068643636718,-3.140577425512192,-0.0744295493791798,3.1372636763027337
4,NamingWITHOUTinterference.jpg,1,0.0522151898734177,0.0284810126582278,0.300632911392405,0.6060126582278481,16,54.34493670886076,1108,0.13,104.35455696202531,306.7,0.04,5.786977848101266,27.73,-179.96,4.336930379746835,179.74,1.2041594578792862,190.5151492529053,1109.7349953930443,-3.1355321217314813,-0.0753487858102383,3.140575359942756
4,NamingWITHinterference.jpg,2,0.0507399577167019,0.0338266384778012,0.3150105708245243,0.587737843551797,16,53.3615221987315,586,1.52,114.24928118393235,679.73,0.15,6.55524312896406,33.99,-179.45,2.8117758985200845,179.47,4.9040799340956704,216.46632266122103,1136.3244827072942,-3.12919659434954,-0.0542450017839124,3.1290410115202265
4,ReadingWITHOUTinterference.jpg,3,0.0825892857142857,0.046875,0.3169642857142857,0.5379464285714286,16,60.486607142857146,712,0.17,115.22140625,331.14,0.01,6.784196428571429,28.51,-179.81,1.497232142857142,179.66,0.1999999999999886,223.8216831694429,1123.8167555255616,-3.133765024814901,-0.0285597268117,3.137364348978914
4,ReadingWITHinterference.jpg,4,0.0613333333333333,0.056,0.3493333333333333,0.52,16,54.64533333333333,252,2.0,120.21589333333333,305.66,0.1,7.234346666666667,29.95,-179.9,7.991759999999999,179.92,3.4176014981269383,238.90741433507384,1045.5132519485346,-3.1396824362379507,-0.1367992963018485,3.1393095525338963
5,NamingWITHOUTinterference.jpg,4,0.0521920668058455,0.0375782881002087,0.3695198329853862,0.5260960334029228,16,56.49269311064718,632,1.12,105.90632567849688,321.02,0.17,5.890605427974948,30.82,-179.68,-1.3852192066805848,179.63,6.76239602507867,197.5218996729946,984.3130853544516,-3.132846520922816,0.0229631299283382,3.1341578463445945
5,NamingWITHinterference.jpg,3,0.0773381294964028,0.039568345323741,0.3381294964028777,0.5251798561151079,16,66.64028776978417,832,0.1,99.14537769784172,308.95,0.03,5.807068345323741,41.37,-179.77,0.9087949640287768,179.75,1.0049875621120912,195.9426707855285,1688.1477571587152,-3.135812371146132,-0.0156668453494915,3.136307290543836
5,ReadingWITHOUTinterference.jpg,2,0.0618101545253863,0.0441501103752759,0.3267108167770419,0.5562913907284768,16,57.69977924944812,620,0.21,115.85207505518764,296.87,0.01,6.58673289183223,27.95,-179.31,-4.659933774834438,179.99,0.1999999999999886,221.81788530774944,1011.8683412381276,-3.141289898527896,0.0821668497352451,3.125720970598003
5,ReadingWITHinterference.jpg,1,0.060882800608828,0.0395738203957382,0.3394216133942161,0.547945205479452,16,58.59969558599696,542,0.62,104.36126331811263,363.04,0.04,5.852633181126332,34.83,-179.89,1.0135920852359208,180.0,1.2999999999999894,199.01410141183703,1417.7219367703951,-3.1318781362541266,-0.008426007873462,3.141592653589793
6,NamingWITHOUTinterference.jpg,3,0.0682261208576998,0.0428849902534113,0.3489278752436647,0.5321637426900585,16,59.39961013645224,2368,0.95,101.37656920077973,296.56,0.22,5.808304093567251,27.83,-179.78,6.487816764132553,180.0,8.839117603019005,195.6507283680102,1079.9835415412588,-3.1402037655939643,-0.0978905659255794,3.141592653589793
6,NamingWITHinterference.jpg,4,0.0758196721311475,0.040983606557377,0.3442622950819672,0.514344262295082,16,70.50819672131148,2608,0.86,105.14631147540985,1067.35,0.02,6.268032786885247,44.83,-179.75,-0.2903688524590159,179.67,0.7615773105864595,211.64531244669024,1786.6468817312505,-3.1336563122823256,0.0012179521072977,3.1358455904265896
6,ReadingWITHOUTinterference.jpg,2,0.0533333333333333,0.0422222222222222,0.3244444444444444,0.5511111111111111,16,86.68444444444444,4336,0.15,115.51753333333332,1034.1,0.01,7.185644444444445,41.36,-179.39,-6.551511111111111,179.69,0.3000000000000113,240.5920098791162,1699.3127463771937,-3.134590858401645,0.1175000605442521,3.127307911002396
6,ReadingWITHinterference.jpg,1,0.0776255707762557,0.0547945205479452,0.3242009132420091,0.4946727549467275,16,77.68645357686454,1830,0.07,101.94330289193304,305.35,0.0,6.279315068493151,34.56,-179.93,-5.76958904109589,180.0,0.1414213562372814,211.65618934213336,1364.758839502423,-3.141317626093977,0.11287560525074,3.141592653589793
7,NamingWITHOUTinterference.jpg,4,0.0734126984126984,0.0535714285714285,0.3412698412698413,0.5138888888888888,16,64.01587301587301,1880,0.42,103.42119047619047,308.97,0.02,6.044226190476191,30.2,-179.91,-0.7149007936507932,179.46,0.6708203932499306,205.2387922393,1111.547425888792,-3.129179498091913,0.0115368532626409,3.139519043290751
7,NamingWITHinterference.jpg,3,0.0811258278145695,0.0562913907284768,0.3526490066225166,0.48841059602649,16,77.54304635761589,2438,0.02,99.0707284768212,504.99,0.0,5.855612582781457,37.37,-179.84,-3.443940397350994,180.0,0.1414213562373416,195.92340231258083,1480.2764944428457,-3.13823828574452,0.0654107517571731,3.141592653589793
7,ReadingWITHOUTinterference.jpg,1,0.0631868131868131,0.048076923076923,0.3626373626373626,0.5137362637362637,16,88.86813186813187,9744,0.16,105.85451923076924,302.59,0.03,5.96173076923077,29.88,-179.99,7.170563186813187,180.0,1.1661903789690131,201.33084228960263,1345.8414654037078,-3.140007868862664,-0.1077466752214193,3.141592653589793
7,ReadingWITHinterference.jpg,2,0.0711610486891385,0.0430711610486891,0.348314606741573,0.5318352059925093,16,54.31460674157304,614,1.71,110.3506554307116,815.98,0.07,6.0100561797752805,30.73,-179.86,6.633932584269663,179.92,2.8861739379323152,198.96001854518997,1269.8572557575123,-3.139739555980499,-0.1136205626998868,3.138350423172078
8,NamingWITHOUTinterference.jpg,3,0.0717488789237668,0.0336322869955156,0.3340807174887892,0.5493273542600897,16,57.336322869955154,496,1.32,113.69760089686098,329.87,0.1,6.635807174887892,32.71,-179.93,13.668565022421523,180.0,3.4828149534536634,221.010109737073,1189.7166469374124,-3.1350567989438622,-0.2201200011624016,3.141592653589793
8,NamingWITHinterference.jpg,4,0.0798122065727699,0.0539906103286385,0.3497652582159624,0.4906103286384976,16,81.38967136150235,1760,0.22,112.381220657277,993.18,0.02,7.0,45.69,-179.6,9.401032863849764,179.96,0.9219544457292764,234.8281826977461,1716.9837331786227,-3.140702181875023,-0.1640133596257195,3.1322999917909238
