RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions
18,2,NamingWITHOUTinterference.jpg,1,50,302.84,794,0.381410579345088,1,15,26
18,3,ReadingWITHinterference.jpg,1,60,277.8,1184,0.234628378378378,1,24,27
18,4,ReadingWITHOUTinterference.jpg,1,46,294.391304347826,1448,0.203308911842421,1,16,21
19,1,NamingWITHinterference.jpg,2,73,355.479452054794,1278,0.278152935880121,1,25,33
19,2,NamingWITHOUTinterference.jpg,2,62,286.161290322581,630,0.454224270353303,1,23,26
19,3,ReadingWITHOUTinterference.jpg,2,58,278.827586206897,1194,0.233523941546815,1,23,28
19,4,ReadingWITHinterference.jpg,2,60,290.166666666667,1314,0.220826991374937,1,25,30
20,1,NamingWITHOUTinterference.jpg,3,80,218.925,554,0.395171480144404,1,30,43
20,2,NamingWITHinterference.jpg,3,43,276.837209302326,774,0.3576708130521,1,17,26
20,3,ReadingWITHinterference.jpg,3,45,248.622222222222,968,0.25684113865932,1,18,26
20,4,ReadingWITHOUTinterference.jpg,3,31,247.870967741935,584,0.424436588599205,1,12,17
21,1,NamingWITHOUTinterference.jpg,4,69,260.405797101449,932,0.279405361696834,1,26,38
21,2,NamingWITHinterference.jpg,4,66,263.333333333333,992,0.265456989247312,1,27,33
21,3,ReadingWITHOUTinterference.jpg,4,55,225.418181818182,658,0.342580823431887,1,22,24
21,4,ReadingWITHinterference.jpg,4,60,273.966666666667,1162,0.235771658060815,1,24,32
22,1,ReadingWITHinterference.jpg,5,84,241.595238095238,888,0.27206670956671,1,29,41
22,2,ReadingWITHOUTinterference.jpg,5,49,247.061224489796,992,0.249053653719552,1,18,24
22,3,NamingWITHinterference.jpg,5,65,290.584615384615,806,0.360526818095056,1,25,37
22,4,NamingWITHOUTinterference.jpg,5,63,256.825396825397,690,0.372210720036807,1,24,33
23,1,ReadingWITHinterference.jpg,6,143,218.321678321678,1058,0.206353193120679,1,63,70
23,2,ReadingWITHOUTinterference.jpg,6,90,196.955555555556,578,0.340753556324491,1,35,44
23,3,NamingWITHOUTinterference.jpg,6,104,221.365384615385,1092,0.202715553677092,1,42,52
23,4,NamingWITHinterference.jpg,6,86,268.790697674419,1232,0.218174267592872,1,30,40
24,1,ReadingWITHOUTinterference.jpg,7,58,210.379310344828,556,0.378380054577028,1,28,27
24,2,ReadingWITHinterference.jpg,7,49,307.265306122449,2120,0.144936465152099,1,21,22
24,3,NamingWITHinterference.jpg,7,48,261.083333333333,1158,0.225460564191134,1,18,24
24,4,NamingWITHOUTinterference.jpg,7,42,275.047619047619,1422,0.193423079499029,1,16,15
25,1,ReadingWITHOUTinterference.jpg,8,83,221.180722891566,956,0.231360588798709,1,34,34
25,2,ReadingWITHinterference.jpg,8,64,250.09375,958,0.261058194154488,1,28,20
25,3,NamingWITHOUTinterference.jpg,8,76,233.868421052632,448,0.52202772556391,1,29,41
25,4,NamingWITHinterference.jpg,8,57,264.666666666667,932,0.283977110157368,1,24,27
26,1,NamingWITHinterference.jpg,1,88,307.136363636364,1186,0.258968266135214,1,40,38
26,2,NamingWITHOUTinterference.jpg,1,62,231.677419354839,796,0.291052034365375,1,22,31
26,3,ReadingWITHinterference.jpg,1,63,330.412698412698,2094,0.157790209366141,1,24,29
26,4,ReadingWITHOUTinterference.jpg,1,57,224.280701754386,452,0.496196242819438,1,25,23
27,1,NamingWITHinterference.jpg,2,100,331.68,1402,0.236576319543509,1,34,44
27,2,NamingWITHOUTinterference.jpg,2,76,334.868421052632,1660,0.201727964489537,1,26,34
27,3,ReadingWITHOUTinterference.jpg,2,69,318.434782608696,2144,0.148523685918235,1,26,25
27,4,ReadingWITHinterference.jpg,2,61,365.147540983607,1984,0.184046139608673,1,26,27
28,1,NamingWITHOUTinterference.jpg,3,102,261.56862745098,864,0.302741466957153,1,46,48
28,2,NamingWITHinterference.jpg,3,69,315.188405797101,1348,0.233819292134348,1,28,27
28,3,ReadingWITHinterference.jpg,3,57,291.122807017544,1086,0.268068883073245,1,24,25
28,4,ReadingWITHOUTinterference.jpg,3,62,218.838709677419,604,0.362315744499039,1,27,27
29,1,NamingWITHOUTinterference.jpg,4,102,225.235294117647,930,0.242188488298545,1,30,49
29,2,NamingWITHinterference.jpg,4,88,258.818181818182,1446,0.178989060731799,1,26,43
29,3,ReadingWITHOUTinterference.jpg,4,66,208.757575757576,614,0.339996051722436,1,23,34
29,4,ReadingWITHinterference.jpg,4,59,234.033898305085,700,0.334334140435835,1,24,30
30,1,ReadingWITHinterference.jpg,5,91,244.32967032967,1112,0.219720926555459,1,36,39
30,2,ReadingWITHOUTinterference.jpg,5,63,237.238095238095,794,0.29878853304546,1,24,20
30,3,NamingWITHinterference.jpg,5,74,274.135135135135,732,0.374501550731059,1,32,29
30,4,NamingWITHOUTinterference.jpg,5,71,233.633802816901,730,0.320046305228632,1,31,28
31,1,ReadingWITHinterference.jpg,6,81,268.197530864197,942,0.284710754632906,1,37,38
31,2,ReadingWITHOUTinterference.jpg,6,93,212.666666666667,1668,0.127498001598721,1,39,39
31,3,NamingWITHOUTinterference.jpg,6,43,382.511627906977,858,0.445817748143329,1,23,19
31,4,NamingWITHinterference.jpg,6,49,326.081632653061,1234,0.264247676380114,1,22,19
32,1,ReadingWITHOUTinterference.jpg,7,79,309.79746835443,1052,0.294484285508014,1,38,36
32,2,ReadingWITHinterference.jpg,7,66,407.727272727273,1096,0.372013934970139,1,28,30
32,3,NamingWITHinterference.jpg,7,51,305.843137254902,948,0.322619343095888,1,21,27
32,4,NamingWITHOUTinterference.jpg,7,57,351.157894736842,1018,0.344948816047978,1,20,26
33,1,ReadingWITHOUTinterference.jpg,8,81,212.37037037037,740,0.286986986986987,1,36,37
33,2,ReadingWITHinterference.jpg,8,73,237.342465753425,946,0.250890555764719,1,33,32
33,3,NamingWITHOUTinterference.jpg,8,70,233.6,772,0.302590673575129,1,27,34
33,4,NamingWITHinterference.jpg,8,71,260.338028169014,1076,0.241949840305775,1,29,33
34,1,NamingWITHinterference.jpg,1,144,266.152777777778,1420,0.187431533646322,1,60,69
34,2,NamingWITHOUTinterference.jpg,1,59,289.35593220339,876,0.33031499109976,1,24,33
34,3,ReadingWITHinterference.jpg,1,77,260.649350649351,868,0.300287270333353,1,36,34
34,4,ReadingWITHOUTinterference.jpg,1,48,285.583333333333,838,0.340791567223548,1,20,26
35,1,ReadingWITHinterference.jpg,6,74,292.162162162162,1242,0.235235235235235,1,27,29
35,2,ReadingWITHOUTinterference.jpg,6,47,277.36170212766,868,0.319541131483479,1,20,16
35,3,NamingWITHOUTinterference.jpg,6,74,295.864864864865,932,0.317451571743417,1,31,32
35,4,NamingWITHinterference.jpg,6,60,407.633333333333,1398,0.291583214115403,1,29,22
36,1,NamingWITHinterference.jpg,1,133,238.015037593985,874,0.272328418299754,1,59,66
36,2,NamingWITHOUTinterference.jpg,1,63,253.492063492063,860,0.294758213362864,1,24,35
