classifier,accuracy,f1_score
Random Forest,0.656711915535445,0.6462048268276642
Logistic Regression,0.5704374057315234,0.5506664272495507
SVM,0.6057315233785822,0.6075680847837711
ANN,0.6920060331825038,0.6838458300488435
