experiment,image,Trial_Index_,CURRENT_SAC_DURATION,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,saccade_distance,saccade_slope,up_freq,down_freq,left_freq,right_freq
1,NamingWITHinterference.jpg,1,36,94.23,3.39,141.42,123.37422745452149,-2.3263868075910272,0,0,1,0
1,NamingWITHinterference.jpg,1,44,131.48,5.79,175.39,186.15598298201434,-3.0350286645832423,0,0,1,0
1,NamingWITHinterference.jpg,1,40,127.41,5.1,147.28,183.6355085488643,-2.4394636320314826,0,0,1,0
1,NamingWITHinterference.jpg,1,28,55.03,1.54,-178.97,51.3140331683254,3.118205105810751,0,0,1,0
1,NamingWITHinterference.jpg,1,36,99.91,3.6,8.07,119.72009021045716,-0.18396255399148198,0,0,0,1
1,NamingWITHinterference.jpg,1,30,95.66,2.87,2.42,93.04541901673609,-0.05591581772894379,0,0,0,1
1,NamingWITHinterference.jpg,1,30,56.91,1.71,3.3,54.960713241369014,-0.07649279554718974,0,0,0,1
1,NamingWITHinterference.jpg,1,30,64.52,1.94,3.75,62.13509475328735,-0.08701718147112841,0,0,0,1
1,NamingWITHinterference.jpg,1,38,90.52,3.44,1.25,109.74666281942243,-0.029162195253948413,0,0,0,1
1,NamingWITHinterference.jpg,1,32,59.47,1.9,-0.07,60.800082236786444,0.0016447353590158676,0,0,0,1
1,NamingWITHinterference.jpg,1,52,59.83,3.11,-2.8,100.11123813039171,0.06497348074221021,0,0,0,1
1,NamingWITHinterference.jpg,1,30,56.15,1.68,-7.47,55.00909015790031,0.1717235976125343,0,0,0,1
1,NamingWITHinterference.jpg,1,36,88.46,3.18,-4.8,105.0314714740302,0.10971094871950536,0,0,0,1
1,NamingWITHinterference.jpg,1,72,221.47,15.95,-166.49,528.5710642855887,2.8348592195018827,0,0,1,0
1,NamingWITHinterference.jpg,1,40,108.87,4.35,172.13,141.2032931627305,-2.960725662030559,0,0,1,0
1,NamingWITHinterference.jpg,1,58,103.76,6.02,6.32,194.05988766357666,-0.14583232069117502,0,0,0,1
1,NamingWITHinterference.jpg,1,52,160.41,8.34,152.59,289.6919743451655,-2.5398031028908834,0,0,1,0
